current_timestep,arrival_rate,replicas_1,replicas_2,replicas_3,cpu_util_1,cpu_util_2,cpu_util_3,latency_violation,latency,latency_violation_percentage
31,49.85844214526538,1,1,1,59.0,71.0,45.0,0,0.047811022087479435,0.0
32,48.99129890743938,1,1,1,60.0,71.0,44.0,0,0.04904948655980902,0.0
33,48.12415566961337,1,1,1,58.0,71.0,44.0,0,0.048778262241281206,0.0
34,47.25701243178737,1,1,1,59.0,68.0,41.0,0,0.04810179779746316,0.0
35,56.20873353338508,1,1,1,42.0,79.0,48.0,0,0.05601356647632741,0.0
36,65.1604546349828,1,2,1,47.0,51.0,57.0,0,0.060637447160250844,0.20940926024481107
37,74.11217573658051,1,2,1,79.0,38.0,64.0,0,0.04645945510671369,0.0
38,83.06389683817821,1,5,5,84.0,21.0,13.0,0,0.12432013442118962,4.308741666666666
39,92.01561793977594,1,5,5,81.0,24.0,16.0,0,0.043814324743512954,0.0
40,99.86370219323148,1,5,4,83.0,13.0,10.0,0,0.3196999567898941,16.887758408664425
41,107.71178644668697,1,5,5,71.0,32.0,23.0,0,0.05544154427547419,0.0
42,115.55987070014251,1,1,2,100.0,34.0,20.0,0,0.061348150047607235,0.21691973969631234
43,123.40795495359804,2,5,5,58.0,35.0,13.0,0,0.4817192070417773,15.220329818869963
44,131.25603920705356,2,5,5,69.0,35.0,19.0,0,0.05012724893236311,0.0
45,133.81367380751004,3,5,5,31.0,22.0,13.0,1,1.2256557081475399,25.271879854997408
46,136.37130840796655,3,5,5,59.0,43.0,27.0,0,0.07039046493226336,0.0
47,138.92894300842303,2,2,2,35.0,37.0,30.0,0,0.06850412676036541,0.07514959869713517
48,141.48657760887951,2,2,2,59.0,85.0,73.0,0,0.062395236438501145,0.0
49,144.04421220933602,2,2,2,40.0,84.0,72.0,0,0.06180872307728814,0.0
50,145.55952311988045,2,2,2,73.0,76.0,71.0,0,0.059898562518040765,0.0
51,147.07483403042485,1,2,2,49.0,86.0,73.0,0,0.062401399317060714,0.0
52,148.59014494096928,2,2,2,67.0,84.0,68.0,0,0.062433255621533894,0.023310670485136683
